0.,0.,1.,1.,1.,1.,1.,1.,1.,1.,0.999846,0.999885,0.998772,0.996737,0.983188,0.938011,0.792462,0.506583,0.209342,0.0618739,0.0161594,0.00372318,0.000882816,0.0000383833,0.00011515,0.0000383833,0.,0.,0.,0.,0.,0.,0.
0.016,0.00033901,0.999997,0.999996,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999843,0.999881,0.998769,0.996734,0.983185,0.938008,0.792459,0.506581,0.209342,0.0618737,0.0161593,0.00372317,0.00088282,0.0000383911,0.000115151,0.0000383826,2.87102e-10,2.87104e-10,2.87106e-10,2.87108e-10,2.8711e-10,2.87112e-10,2.87114e-10
0.032,0.00134727,0.999986,0.999986,0.999987,0.999986,0.99999,0.999988,0.999986,0.999988,0.999834,0.999871,0.998759,0.996724,0.983174,0.937997,0.79245,0.506575,0.20934,0.061873,0.016159,0.00372313,0.000882838,0.0000384176,0.000115159,0.0000383842,4.57494e-9,4.57498e-9,4.57502e-9,4.57505e-9,4.57509e-9,4.57512e-9,4.57516e-9
0.048,0.00299824,0.999969,0.999968,0.99997,0.999969,0.999977,0.999973,0.99997,0.999973,0.999818,0.999853,0.998744,0.996706,0.983157,0.93798,0.792436,0.506566,0.209336,0.061872,0.0161584,0.00372308,0.000882879,0.000038473,0.000115183,0.0000383987,2.30273e-8,2.30278e-8,2.30282e-8,2.30286e-8,2.3029e-8,2.30293e-8,2.30297e-8
0.064,0.0052486,0.999945,0.999944,0.999948,0.999946,0.999959,0.999952,0.999946,0.999953,0.999797,0.999829,0.998723,0.996683,0.983134,0.937957,0.792417,0.506554,0.209331,0.0618706,0.0161578,0.00372302,0.000882962,0.0000385732,0.000115241,0.000038443,7.21902e-8,7.21926e-8,7.21949e-8,7.2197e-8,7.21991e-8,7.22011e-8,7.2203e-8
0.08,0.00803986,0.999915,0.999913,0.99992,0.999917,0.999936,0.999925,0.999917,0.999928,0.99977,0.999799,0.998697,0.996653,0.983105,0.937928,0.792393,0.506538,0.209325,0.0618688,0.0161569,0.00372299,0.000883109,0.0000387401,0.000115356,0.0000385398,1.74417e-7,1.74425e-7,1.74434e-7,1.74442e-7,1.7445e-7,1.74457e-7,1.74465e-7
0.096,0.0113007,0.99988,0.999877,0.999887,0.999882,0.999909,0.999894,0.999882,0.999897,0.999738,0.999763,0.998665,0.996618,0.98307,0.937894,0.792365,0.506519,0.209317,0.0618667,0.0161559,0.00372301,0.000883347,0.0000390004,0.000115554,0.0000387167,3.57091e-7,3.57117e-7,3.57142e-7,3.57166e-7,3.57189e-7,3.57211e-7,3.57232e-7
0.112,0.0149496,0.999839,0.999836,0.99985,0.999842,0.999878,0.999857,0.999841,0.999863,0.999702,0.999722,0.99863,0.996577,0.98303,0.937854,0.792332,0.506497,0.209308,0.0618643,0.0161549,0.0037231,0.000883706,0.000039385,0.000115868,0.0000390054,6.51696e-7,6.5176e-7,6.51821e-7,6.5188e-7,6.51937e-7,6.5199e-7,6.52042e-7
0.128,0.0188979,0.999794,0.99979,0.999809,0.999798,0.999844,0.999816,0.999796,0.999825,0.999662,0.999675,0.99859,0.996532,0.982986,0.93781,0.792295,0.506472,0.209299,0.0618617,0.0161538,0.00372331,0.000884222,0.0000399273,0.000116332,0.0000394407,1.09275e-6,1.09289e-6,1.09302e-6,1.09315e-6,1.09327e-6,1.09339e-6,1.0935e-6
0.144,0.0230533,0.999745,0.99974,0.999765,0.999751,0.999806,0.999772,0.999747,0.999783,0.999618,0.999625,0.998547,0.996483,0.982938,0.937762,0.792255,0.506445,0.209289,0.0618588,0.0161527,0.00372367,0.000884928,0.000040663,0.000116982,0.0000400591,1.71667e-6,1.71694e-6,1.71721e-6,1.71746e-6,1.7177e-6,1.71792e-6,1.71814e-6
0.16,0.0273226,0.999693,0.999688,0.999718,0.999701,0.999766,0.999724,0.999694,0.999739,0.999572,0.999571,0.998502,0.996431,0.982886,0.937711,0.792213,0.506416,0.209278,0.0618559,0.0161516,0.00372422,0.00088586,0.0000416282,0.000117856,0.0000408976,2.56062e-6,2.56112e-6,2.5616e-6,2.56205e-6,2.56249e-6,2.5629e-6,2.56329e-6
0.176,0.0316148,0.999638,0.999633,0.999669,0.999648,0.999725,0.999674,0.999638,0.999693,0.999523,0.999515,0.998454,0.996376,0.982832,0.937658,0.792168,0.506386,0.209266,0.0618529,0.0161507,0.003725,0.000887053,0.0000428586,0.00011899,0.0000419929,3.66136e-6,3.66221e-6,3.66302e-6,3.66379e-6,3.66453e-6,3.66524e-6,3.6659e-6
0.192,0.0358445,0.999582,0.999576,0.99962,0.999595,0.999681,0.999622,0.99958,0.999646,0.999474,0.999456,0.998405,0.99632,0.982776,0.937603,0.792122,0.506354,0.209254,0.0618499,0.0161499,0.00372604,0.00088854,0.0000443884,0.000120419,0.0000433801,5.05415e-6,5.05552e-6,5.05683e-6,5.05808e-6,5.05927e-6,5.0604e-6,5.06148e-6
